article_number,Current_Turn,Previous_Turns,Type_of_Thought/Belief
1143,"A: I saw everyone's presentations, and I feel that mine is just not up to the mark.","A: The conference is next week and I'm stressing over my presentation... B: You have put a lot of work into it, haven't you?",Automatic Thought
1144,A: I think I always mess things up because I'm not capable enough.,"A: I didn't manage to sign the new client today... B: It was a tough situation though, right?",Intermediate Belief
1145,"A: If I speak up during meetings, I'll just end up looking foolish.",A: I stayed up all night thinking about the work presentation... B: How come you're worried after practicing your part?,Intermediate Belief
1146,"A: I feel like every time I make a mistake, it just proves I'm not capable enough at my job.","A: Yesterday, I accidentally sent an email with a typo to our client... B: Didn't everyone assure you it was a minor error?",Intermediate Belief
1147,"A: Every time I speak up in meetings, I just end up saying something stupid.",A: I get so nervous when I have to present my ideas at work... B: Have you tried practicing your presentations?,Automatic Thought
1148,"A: If I don't perform perfectly on this task, my boss will think I'm incompetent.",A: I've got this important task to deliver by the end of the day... B: It sounds like you're putting a lot of pressure on yourself to get it perfect.,Intermediate Belief
1149,"A: Every time I get a message, I'm convinced it's going to be bad news.",A: I feel tense all day long... B: Is there something specific that's causing your anxiety?,Automatic Thought
1150,A: I just can't shake the belief that I'm fundamentally unlovable.,A: Dating has been so hard for me... B: Have you had bad experiences in the past?,Core Belief
1151,"A: If I make one small mistake at work, my day is completely ruined.",A: Work has been extremely stressful lately... B: It's important to remember everyone makes mistakes.,Intermediate Belief
1152,"A: I always have to be in control, or else everything falls apart.",A: My team relies on me to manage everything... B: Sounds like a lot of responsibility.,Core Belief
1153,A: I can never get anything right. It's just one mistake after another.,A: I've messed up the report again... B: Didn't this also happen last week?,Automatic Thought
1154,B: Maybe you're generalizing too much from one event?,"A: Just because I didn't get this promotion, my career is going nowhere... B: Is it possible that you're overreacting a bit?",Intermediate Belief
1155,"A: If I can't do this task perfectly, then it's a complete failure.",A: I'm worried about this project I'm working on. B: How come? A: I just have this standard in my head that I need to meet.,Intermediate Belief
1156,"A: I feel that if someone disagrees with me, it means they don't like me as a person.",A: I'm always nervously agreeing with people. B: Why do you think that is? A: I guess I'm scared of conflict.,Intermediate Belief
1157,"A: If I'm not perfect, I am a complete failure. It's either all or nothing with me.",A: I just received my exam results and they're not what I hoped for... B: Didn't you pass though and get decent grades?,Core Belief
1158,"A: Everyone else seems to have their life together, I must be the only one failing.","A: When I look at my peers, it feels like they are all far ahead... B: Do you truly believe everyone is doing better than you?",Core Belief
1159,"A: Every time I'm in a social situation, I just freeze and I can't think of anything to say.",A: I want to meet new people and make friends... B: What happens when you try to interact with others?,Automatic Thought
1160,"A: Deep down, I guess I've always felt like I'm just not lovable as I am.","A: Relationships are so hard for me, I never seem to get it right. B: Sounds like you're feeling really disheartened about your relationships.",Core Belief
1161,"A: Every time I'm in a social situation, I feel like I'm boring and nobody wants to talk to me.",A: I get nervous thinking about parties... B: Do you think you're not liked when you go to them?,Intermediate Belief
1162,"A: I'm looking ridiculous with this outfit, everyone will think I lack style.",A: This new dress makes me uncomfortable... B: Is it the dress or what you think others will say?,Automatic Thought
1163,"A: Even if I get this job, I'll probably end up losing it like last time.","B: You should try to be more positive about your interview tomorrow. A: I'm trying, but it's hard.",Automatic Thought
1164,A: I just feel worthless when I see everyone else is so successful on social media.,"C: You have accomplished things too, haven't you? A: Barely anything, it seems insignificant compared.",Intermediate Belief
1165,"A: Everyone always leaves me, I'm just not worth sticking around for.","A: I had another friend cancel plans on me... B: I'm sorry to hear that, has it happened often?",Core Belief
1166,"A: I'm certain I looked so awkward during that presentation, everyone must think I'm incompetent.",A: Giving presentations always makes me nervous. B: How do you feel it went today?,Automatic Thought
1167,"A: I'm such a screw-up; I left the report at home, and now the meeting's going to be a disaster.","A: I can't believe I forgot the report on my desk... B: That's unfortunate, but maybe we can work around it.",Automatic Thought
1168,"A: Every time this happens, I get convinced that I'm just not cut out for this job.",A: This is the second time I've made a mistake like this in a month. B: Don't be too hard on yourself; everyone slips up now and then.,Intermediate Belief
